x,y,id
7.81978,47.977659,270
7.84139,47.995916,271
7.85564,47.997066,272
7.809004,47.979059,273
7.812333,48.009578,274
7.844718,47.995631,278
7.869306,47.98825,279
7.816807,48.01902,280
7.858041,48.004912,281
7.87441,47.988996,283
7.851846,47.98339,284
7.879619,47.990181,286
7.82993,47.986651,287
7.81229,48.015336,288
7.83885,47.997126,289
7.895638,47.986151,290
7.854777,47.99125,291
7.810364,47.985499,292
7.849162,47.992429,294
7.824217,48.01079,295
7.80542,48.008688,296
7.839938,47.997388,297
7.852535,47.9834,299
7.849179,47.992362,300
7.82121,48.006825,301
7.855625,47.997095,302
7.85637,47.983545,303
7.84498,48.013957,304
7.848813,47.992321,306
7.8766,47.987198,307
7.8533,48.007411,308
7.804501,47.996082,309
7.824404,47.98112,310
7.82842,47.976199,313
7.845451,47.993206,314
7.85857,47.991661,315
7.83055,47.979635,316
7.863771,48.002706,319
7.827537,47.97444,425
7.852116,47.99745,426
7.854425,47.99236,427
7.894774,47.981143,428
7.84055,47.99783,429
7.863605,47.98888,430
7.845705,47.993546,431
7.837578,47.98616,433
7.790473,47.999456,434
7.816786,48.01902,435
7.849287,47.992551,437
7.83081,48.023379,438
7.84589,47.994468,439
7.854577,47.992352,440
7.847637,47.9983,441
7.83031,47.995204,442
7.81148,47.994905,443
7.859821,47.988889,444
7.895642,47.986201,448
7.80666,47.998157,449
